course_code,fall_capacity,spring_capacity,prerequisistes,,
MATH221,1000,1000,,,
MATH222,1000,1000,MATH221,,
MATH234,1000,1000,MATH222,,
ECON101,1000,1000,,,
COMPSCI220,1000,1000,,,
ISYE191,0,258,,,
PHYSICS201,1000,1000,MATH221,,
ISYE313,132,98,MATH221,,
ISYE315,66,132,,,
ISYE348,149,132,,,
ISYE349,149,132,,,
MATH340,1000,1000,MATH222,,
ISYE210,132,132,MATH221,,
ISYE312,98,98,ISYE210,,
STAT311,1000,1000,MATH234,,
ISYE320,149,149,"STAT311,ISYE210,MATH340",,
ISYE323,149,98,MATH222,,
ISYE321,149,98,,,
ISYE350,54,54,"COMPSCI220,ISYE210,ISYE315",,
INTEREGR397,764,764,,,
ISYE450,40,40,"ISYE313,ISYE320,ISYE323,ISYE350,ISYE349",,
INTEREGR170,205,205,,,
CHEM109,285,285,,,
EMA200,80,0,,,
CHEM343,500,500,CHEM109,,
BME200,212,0,,,
PHYSICS202,509,509,"PHYSICS201,EMA201,MATH221",,
BME325,88,88,MATH222,,
BME201,0,156,BME200,,
MATH320,400,400,MATH222,,
EMA201,516,614,MATH222,,
BME310,132,136,"CHEM109,MATH222,PHYSICS202",,
BME300,129,0,BME201,,
BME315,149,55,EMA303,,
BME301,0,98,BME301,,
BME430,0,149,CHEM343,,
BME400,98,0,"BME300,BME310",,
BME402,0,240,BME400,,
CBE150,132,48,,,
CHEM329,100,126,CHEM109,,
CBE250,69,83,CHEM329,,
ZOOLOGY153,60,90,,,
CBE255,107,69,CBE250,,
CBE310,69,69,"MATH234,PHYSCIS201,CBE250",,
CHEM345,700,612,CHEM343,,
CHEM344,540,720,CHEM109,,
CBE311,73,63,CBE310,,
CBE320,107,107,"PHYSICS201,MATH320",,
CBE355,63,41,"MATH234,CBE255",,
CBE326,73,73,"CBE310,CBE320",,
CBE324,96,140,"CBE310,CBE320,STAT324",,
CBE426,107,63,"CBE311,CBE320",,
CBE430,69,63,"CBE311,CBE320",,
CBE450,63,69,"CBE326,CBE426,CBE430",,
CBE470,69,69,"CBE326,CBE430",,
CIVENGR159,78,88,,,
EMA202,258,316,EMA202,,
CIVENGR291,98,98,MATH222,,
STAT324,400,400,MATH221,,
EMA303,516,512,"EMA201,MATH222",,
CIVENGR310,107,132,"MATH234,EMA202",,
CHEM103,900,90,,,
CIVENGR311,132,258,MATH222,,
CIVENGR320,132,132,CHEM109,,
CIVENGR324,48,0,,,
CIVENGR325,0,84,,,
CIVENGR330,60,132,EMA303,,
CIVENGR340,107,98,"EMA303,EMA307",,
CIVENGR370,60,60,STAT324,,Online
CIVENGR395,132,60,EMA303,,
CIVENGR494,98,132,,,
CHEM104,0,900,,,
COMPSCI200,170,90,,,
COMPSCI300,200,100,,,
ECE210,236,384,,,
COMPSCI400,525,100,,,
ECE203,219,228,,,
ECE222,233,176,,,
ECE230,136,502,,,
ECE235,165,98,,,
ECE252,1058,1206,,,
ECE270,184,276,,,
ECE271,184,184,,,
ECE315,460,552,,,
ECE330,136,102,,,
ECE340,256,146,,,
ECE352,243,238,,,
ECE353,92,92,,,
ECE354,610,610,,,
ECE370,72,72,,,
ECE376,132,132,,,
ECE551,128,128,,,
EMA307,238,598,EMA303,,
EP271,34,0,,,
MSE260,44,0,CHEM109,,
EP468,60,0,,,
EP469,30,25,,,
EP471,0,66,,,
EMA405,32,32,,,
EP568,10,10,,,
EMA469,32,0,,,
EP/EMA471,0,0,,,
EMA506,66,0,,,
EMA521,98,0,,,
EMA569,98,32,,,
EP569,5,10,,,
NE231,0,66,,,
GEOSCI100,50,50,,,
MSE330,66,0,"MATH222,CHEM109",,
GEOSCI106,50,50,,,
GEOSCI202,50,50,,,
NE305,44,0,,,
GEOSCI204,50,50,,,
GLE171,30,30,,,
GLE360,30,30,,,
GLE370,30,30,,,
GLE431,30,30,,,
GLE455,30,30,,,
CIVENGR474,24,24,,,
GLE479,30,30,,,
GLE594,30,30,,,
CIVENGR498,0,50,,,
CIVENGR578,118,118,CIVENGR414,,
GLE595,30,30,,,
GLE627,30,30,,,
INTEREGR275,108,108,,,
MATH240,100,100,,,
MATH319,100,100,,,
MATH321,100,100,,,
ME201,258,258,,,
ME231,258,258,,,
ME307,425,400,,,
ME310,149,149,,,
ME311,149,149,,,
ME331,149,149,,,
MSE331,0,53,"MSE330,MATH320",,
MSE332,53,0,,,
MSE333,0,53,,,
ME340,149,294,,,
MSE350,236,236,,,
MSE351,53,0,,,
MSE352,0,58,,,
MSE360,66,0,,,
MSE361,0,58,,,
MSE362,66,0,,,
MSE421,53,0,,,
MSE441,0,53,,,
MSE451,53,0,,,
MSE456,53,0,,,
MSE460,0,53,,,
MSE470,53,0,,,
MSE471,0,53,,,
ME342,149,258,,,
ME351,258,258,,,
ME352,80,315,,,
ME361,236,287,,,
ME363,290,278,,,
ME364,149,156,,,
ME368,399,267,,,
ME370,149,149,,,
ME376,258,258,,,
PHYSCIS202,550,500,,,
PHYSICS241,70,70,,,
PHYSICS322,100,100,,,
PHYSICS531,50,50,,,
NE424,0,109,,,
NE405,0,48,,,
NE408,0,48,,,
NE411,38,0,,,
NE525,40,0,,,
NE427,66,32,,,
NE423,44,0,,,
NE412,0,40,,,
NE428,16,16,,,
NE526,0,40,,,
NE571,0,48,,,
